ID,Source,Type,CreatedAt,Language,Content,Original Content,metadata.Version,metadata.Language_Name,metadata.Score,metadata.Language_Code,metadata.Rating,metadata.Upvotes,metadata.CountryISO2
662b9da4-fc43-5111-8b63-c45592cfc565,Playstore,RecordTypeReview,2025-02-05T07:30:49Z,spa,"Give me music for the moment, otherwise, why is one paying?",Denme música para el momento si no así porque esta pagando uno?,9.0.14.561,Spanish,3,es,,,
df21e376-9125-5dc7-ab4a-d698e00ae583,Playstore,RecordTypeReview,2025-02-05T05:28:21Z,spa,#party and for the world A magnificent app Spotify.music And podcast,#paraTy y para el mundo Una magnífica apps Spotify.musica Y podcast,,Spanish,5,es,,,
b8aa8db7-794e-5640-99af-d0db6c02bf77,Appstore,RecordTypeReview,2025-02-04T19:24:49Z,eng,This app has saved me on long road trips,This app has saved me on long road trips,9.0.16,,,,5,0,us
8e0ca512-cac5-51b1-ba84-9afa088a514d,Appstore,RecordTypeReview,2025-02-04T19:23:44Z,spa,"The cheapest application I have seen to listen to music forces you to pay to make it comfortable, you can't skip music, if you search for a specific song they don't let you listen to it, you can't rewind a song or skip ahead, you can't listen to the songs in order, in short, you can't do anything, the only thing you can do is change songs.","La aplicación mas rata que eh visto para escuchar música te obligan a pagar para poder que sea cómoda, no puedes adelantar música, si buscas una canción en especial no te dejan escucharla, no puedes atrasar una canción ni adelantar, no puedes escuchar las canciones en orden, en pocas palabras no puede hacer nada lo único que puedes hacer es cambiar de canción",9.0.16,,,,2,0,co
79492782-383d-5951-a657-eadeb842d885,Appstore,RecordTypeReview,2025-02-04T19:23:16Z,spa,It's a very good application for listening to music.,Es muy buena aplicación para escuchar música,9.0.16,,,,5,0,co
43878c42-c10a-57ad-856b-5771bd64a267,Appstore,RecordTypeReview,2025-02-04T19:22:43Z,eng,GOOOOOOOOD MUSIC AND I CAN FIND EVERY SONG I ANNA HEAR LOVE IT,GOOOOOOOOD MUSIC AND I CAN FIND EVERY SONG I ANNA HEAR LOVE IT,9.0.16,,,,4,0,us
0b5d54e6-8597-565c-9139-ec526a508aa0,Appstore,RecordTypeReview,2025-02-04T19:21:55Z,eng,"I make playlists all the time, but I hear the same six songs on constant rotation. It is very annoying, and I am seriously considering a new streaming service.","I make playlists all the time, but I hear the same six songs on constant rotation. It is very annoying, and I am seriously considering a new streaming service.",9.0.16,,,,1,0,us
061060c2-69a2-5e1d-b49d-a8aa7c196126,Appstore,RecordTypeReview,2025-02-04T19:14:50Z,nld,Deliciously cruising through the Netherlands with my favorite music!!,Heerlijk met m’n favoriete muziek door Nederland crossen !!,9.0.16,,,,3,0,nl
cc6e841a-122a-53a3-a6d2-4c14e672c3d6,Appstore,RecordTypeReview,2025-02-04T19:13:36Z,eng,The app is good and works great although the shuffling is so bad. I have to play my favorite songs manually since they almost never show up in the shuffle. It’s always the same songs over and over which then burns me out of those songs even though I want to like them. Also the smart shuffle isn’t all that good either. It mainly does the same where it plays the same songs or doesn’t add more than a handful of new songs.,The app is good and works great although the shuffling is so bad. I have to play my favorite songs manually since they almost never show up in the shuffle. It’s always the same songs over and over which then burns me out of those songs even though I want to like them. Also the smart shuffle isn’t all that good either. It mainly does the same where it plays the same songs or doesn’t add more than a handful of new songs.,9.0.16,,,,3,0,us
c4835213-dc62-5d83-bc5b-1fdaf438863d,Appstore,RecordTypeReview,2025-02-04T19:11:48Z,eng,"Sometimes when listening to music, comma if it’s having a hard time streaming, it will actually play the song at a slower speed, which is really annoying","Sometimes when listening to music, comma if it’s having a hard time streaming, it will actually play the song at a slower speed, which is really annoying",9.0.16,,,,3,0,ca
b09c3678-901c-53e6-92ab-3e28f3d018e1,Appstore,RecordTypeReview,2025-02-04T19:10:39Z,fra,Incredible music,Incroyable musique,9.0.16,,,,5,0,fr
9d5aead2-b0ae-5d19-869c-82b851f83442,Appstore,RecordTypeReview,2025-02-04T19:06:16Z,eng,It’s amazing with all of your favorite artists and audibles it’s just the ads…,It’s amazing with all of your favorite artists and audibles it’s just the ads…,9.0.16,,,,4,0,gb
60b6f92a-34c8-52bc-94d9-3075047be334,Appstore,RecordTypeReview,2025-02-04T19:02:48Z,eng,"A limit of four pins for playlists makes no sense, makes it harder to find playlists for no reason (especially with all the auto-generated ones). The generes you can select in “liked songs” don’t do anything. It always plays a couple songs of the right genre, and then just devolves into randomness. No matter what genre you choose, it’ll shuffle all your music. There’s also no way to get rid of the “smart shuffle,” so if you want to shuffle your music, you need to click an extra time and wait for it to load random songs you’ve never heard, just so you can remove them when it’s done loading. You will be able to listen to your downloads while offline most of the time, sometimes Spotify decides you’re not allowed for whatever reason. That aside, the EQ and all the audio settings are nice. It’s also very easy to navigate, and makes discovering new music very easy (not with “smart shuffle” though, what a time waster that is). Oh yeah! Make sure to clear cache every now and then, or else your shuffle will just play the same songs over and over again (and you’ll have to press “shuffle” over and over again cause of the stupid “smart shuffle” smh I recommend turning off “automix” if you don’t want the same songs in the same order). I’ve been using Spotify and a few other music apps for a couple years now, and it’s definitely good enough, just wish they’d ever fix anything I listed in the first paragraph. At the very least let us toggle the “smart shuffle” feature on and off, and fix the genres not working (all of this is with premium btw, without it you’re gonna be dealing with a lot more headaches (and ads smh, getting a different app is my honest recommendation).","A limit of four pins for playlists makes no sense, makes it harder to find playlists for no reason (especially with all the auto-generated ones). The generes you can select in “liked songs” don’t do anything. It always plays a couple songs of the right genre, and then just devolves into randomness. No matter what genre you choose, it’ll shuffle all your music. There’s also no way to get rid of the “smart shuffle,” so if you want to shuffle your music, you need to click an extra time and wait for it to load random songs you’ve never heard, just so you can remove them when it’s done loading. You will be able to listen to your downloads while offline most of the time, sometimes Spotify decides you’re not allowed for whatever reason. That aside, the EQ and all the audio settings are nice. It’s also very easy to navigate, and makes discovering new music very easy (not with “smart shuffle” though, what a time waster that is). Oh yeah! Make sure to clear cache every now and then, or else your shuffle will just play the same songs over and over again (and you’ll have to press “shuffle” over and over again cause of the stupid “smart shuffle” smh I recommend turning off “automix” if you don’t want the same songs in the same order). I’ve been using Spotify and a few other music apps for a couple years now, and it’s definitely good enough, just wish they’d ever fix anything I listed in the first paragraph. At the very least let us toggle the “smart shuffle” feature on and off, and fix the genres not working (all of this is with premium btw, without it you’re gonna be dealing with a lot more headaches (and ads smh, getting a different app is my honest recommendation).",9.0.16,,,,2,0,us
fa08fc6e-dc41-5524-a0c9-a462fcc373ea,Appstore,RecordTypeReview,2025-02-04T19:01:44Z,spa,"Lately, there are many ads, I barely listen to 2 songs and 3 or 4 ads of 40 seconds come out.","últimamente tiene muchos anuncios, apenas escucho 2 canciones y salen 3 o 4 anuncios de 40 seg",9.0.16,,,,3,0,mx
